/* Ï¯Ìß»²½Þ(X,Y) , Á¯Ìß»²½Þ(X,Y) , Ú²Ô°Ï²½³ */
32,24,16,16,3

/* Ï¯ÌßÃÞ°Àºº¶× */

/* Ú²Ô°0 */
182,46848,183,7168,284,7425,285,7681,286,7937,287,5121,276,5377,277,5633,278,5889,279,5633,278,5889,279,5633,278,5889,279,5121,276,5377,277,5633,
278,5889,279,5121,276,5377,277,5633,278,5889,279,6145,280,6401,281,6657,282,6913,283,7169,284,7425,285,7681,286,7937,287,46593,182,46848,183,50688,
198,50944,199,11264,300,11521,301,11777,302,12033,303,9217,292,9473,293,9729,294,9985,295,9729,294,9985,295,9729,294,9985,295,9217,292,9473,293,9729,
294,9985,295,9217,292,9473,293,9729,294,9985,295,10241,296,10497,297,10753,298,11009,299,11265,300,11521,301,11777,302,12033,303,50689,198,50944,199,54784,
214,55040,215,15360,316,15617,317,15873,318,16129,319,13313,308,13569,309,13825,310,14081,311,13825,310,14081,311,13825,310,14081,311,13313,308,13569,309,13825,
310,14081,311,13313,308,13569,309,13825,310,14081,311,14337,312,14593,313,14849,314,15105,315,15361,316,15617,317,15873,318,16129,319,54785,214,55040,215,58880,
230,59136,231,19456,332,19713,333,19969,334,20225,335,17409,324,17665,325,17921,326,18177,327,17921,326,18177,327,17921,326,18177,327,17409,324,17665,325,17921,
326,18177,327,17409,324,17665,325,17921,326,18177,327,18433,328,18689,329,18945,330,19201,331,19457,332,19713,333,19969,334,20225,335,58881,230,59136,231,62976,
246,63232,247,23552,348,23809,349,24065,350,24321,351,21505,340,21761,341,22017,342,22273,343,22017,342,22273,343,22017,342,22273,343,21505,340,21761,341,22017,
342,22273,343,21505,340,21761,341,22017,342,22273,343,22529,344,22785,345,23041,346,23297,347,23553,348,23809,349,24065,350,24321,351,62977,246,63232,247,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,9216

/* Ú²Ô°1 */
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,
4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,9216,
36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,36,1024,4,9216,
