/* Ï¯Ìß»²½Þ(X,Y) , Á¯Ìß»²½Þ(X,Y) , Ú²Ô°Ï²½³ */
24,24,16,16,3

/* Ï¯ÌßÃÞ°Àºº¶× */

/* Ú²Ô°0 */
32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,
32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,32,8192,
32,19456,76,19712,77,23552,92,23808,93,19456,76,19712,77,512,2,768,3,512,2,768,3,512,2,768,
3,512,2,768,3,512,2,768,3,2560,10,2816,11,2816,11,2816,11,2560,10,2816,11,8192,32,8192,
32,23552,92,23808,93,23552,92,23808,93,23552,92,23808,93,4608,18,4864,19,4608,18,4864,19,4608,18,768,
3,512,2,768,3,4608,18,4864,19,6656,26,6912,27,6912,27,6912,27,6656,26,6912,27,8192,32,8192,
32,19456,76,19712,77,19456,76,19712,77,19456,76,19712,77,19968,78,20224,79,20224,79,4864,19,4608,18,4864,
19,4608,18,4864,19,512,2,768,3,2560,10,2816,11,2816,11,2816,11,2560,10,2816,11,8192,32,8192,
32,23552,92,23808,93,23552,92,23808,93,23552,92,23808,93,19968,78,20224,79,24320,95,768,3,512,2,768,
3,512,2,768,3,4608,18,4864,19,6656,26,6912,27,2560,10,2816,11,6656,26,6912,27,8192,32,8192,
32,23552,92,23808,93,23552,92,23808,93,23552,92,23808,93,24064,94,24320,95,24320,95,4864,19,4608,18,4864,
19,4608,18,4864,19,4608,18,768,3,2560,10,2816,11,6656,26,6912,27,2560,10,2816,11,8192,32,8192,
32,4608,18,4864,19,4608,18,4864,19,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,
3,512,2,768,3,512,2,4864,19,6656,26,6912,27,2560,10,2816,11,6656,26,6912,27,8192,32,8192,
32,512,2,768,3,512,2,768,3,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,
19,4608,18,4864,19,4608,18,768,3,2560,10,2816,11,6656,26,6912,27,2560,10,2816,11,8192,32,8192,
32,4608,18,4864,19,4608,18,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,
3,512,2,768,3,512,2,4864,19,6656,26,6912,27,2560,10,2816,11,6656,26,6912,27,8192,32,8192,
32,512,2,768,3,512,2,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,
19,4608,18,4864,19,4608,18,4864,19,2560,10,2816,11,6656,26,6912,27,2560,10,2816,11,8192,32,8192,
