/* Ï¯Ìß»²½Þ(X,Y) , Á¯Ìß»²½Þ(X,Y) , Ú²Ô°Ï²½³ */
24,24,16,16,4

/* Ï¯ÌßÃÞ°Àºº¶× */

/* Ú²Ô°0 */
72,18688,73,18944,74,19200,75,19456,76,19712,77,18432,72,18688,73,18944,74,19200,75,19456,76,19712,77,18432,
72,18688,73,18944,74,19200,75,19456,76,19712,77,18432,72,18688,73,18944,74,19200,75,19456,76,19712,77,512,
2,768,3,512,2,768,3,512,2,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,
3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,512,2,768,3,512,2,768,3,4608,
18,4864,19,4608,18,4864,19,4608,18,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,
19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4608,18,4864,19,4608,18,4864,19,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,512,2,768,
3,512,2,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,512,
2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,
2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,512,
2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,
2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,512,
2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,
2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,512,
2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,
2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,512,2,768,3,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,
18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,4608,18,4864,19,512

/* Ú²Ô°1 */
